   subj_id,    sex,age,rank,   session,     trial,react_time,  goodresp,     trial,rank_2,type
Nodon,         M,15,H,1,30,1915.0659,1,,H,Go
Nodon,         M,15,H,1,31,848.3329,1,,H,Go
Nodon,         M,15,H,1,32,1773.3931,1,,H,Go
Nodon,         M,15,H,1,33,867.4642,1,,H,Go
Nodon,         M,15,H,1,34,3160.1357,1,,H,Go
Nodon,         M,15,H,1,35,4542.3338,1,,H,Go
Nodon,         M,15,H,1,36,2204.3708,1,,H,NoGo
Nodon,         M,15,H,1,37,3340.6018,1,,H,Go
Nodon,         M,15,H,1,38,738.9346,1,,H,Go
Nodon,         M,15,H,1,39,5207.9811,0,,H,NoGo
Nodon,         M,15,H,1,40,2095.3849,1,,H,Go
Nodon,         M,15,H,2,1,3444.791,1,,H,Go
Nodon,         M,15,H,2,2,5207.3481,0,,H,NoGo
Nodon,         M,15,H,2,3,897.0328,1,,H,Go
Nodon,         M,15,H,2,4,584.512,1,,H,Go
Nodon,         M,15,H,2,5,2205.6694,1,,H,NoGo
