subj_id,sex,age,rank,     trial,ordre_block,   session,react_time,   picture,success,type_picture,stim,expe_pic,Bared teeth,rank_2,pic-control,control_Stroop
Adele,         F,3,B,15,3,2,80.2484,11,1,Neutral,pic,0,0,M,-3600.8176,3600.8176
Adele,         F,3,B,16,3,2,13815.7199,12,1,Neutral,pic,0,0,M,10134.6539,-10134.6539
Adele,         F,3,B,17,3,2,230.3445,10,1,Neutral,pic,0,0,M,-3450.7215,3450.7215
Adele,         F,3,B,18,3,2,2121.8551,9,1,Neutral,pic,0,0,M,-1559.2109,1559.2109
Adele,         F,3,B,21,4,2,627.3147,3,1,Object,pic,0,0,M,-3053.7513,3053.7513
Adele,         F,3,B,22,4,2,332.1232,4,1,Object,pic,0,0,M,-3348.9428,3348.9428
Adele,         F,3,B,23,4,2,2476.7049,2,1,Object,pic,0,0,M,-1204.3611,1204.3611
Adele,         F,3,B,24,4,2,3132.0131,1,1,Object,pic,0,0,M,-549.0529,549.0529
Adele,         F,3,B,27,5,2,5674.3342,1,1,Object,pic,0,0,M,1993.2682,-1993.2682
Adele,         F,3,B,28,5,2,1951.9164,2,1,Object,pic,0,0,M,-1729.1496,1729.1496
Adele,         F,3,B,29,5,2,2779.2744,3,1,Object,pic,0,0,M,-901.7916,901.7916
Adele,         F,3,B,30,5,2,6683.0645,4,1,Object,pic,0,0,M,3001.9985,-3001.9985
Adele,         F,3,B,33,6,2,3541.6785,7,1,Threat,pic,0,0,M,-139.3875,139.3875
Adele,         F,3,B,34,6,2,2782.0143,8,1,Threat,pic,0,0,M,-899.0517,899.0517
Adele,         F,3,B,35,6,2,1298.8525,5,1,Threat,pic,0,0,M,-2382.2135,2382.2135
Adele,         F,3,B,36,6,2,1609.4839,6,1,Threat,pic,0,0,M,-2071.5821,2071.5821
Adele,         F,3,B,1,1,3,3522.9883,0,1,None,None,0,0,M,-158.0777,158.0777
Adele,         F,3,B,2,1,3,2772.5366,0,1,None,None,0,0,M,-908.5294,908.5294
Adele,         F,3,B,7,2,3,1840.7739,0,1,None,None,0,0,M,-1840.2921,1840.2921
Adele,         F,3,B,8,2,3,74.9216,0,1,None,None,0,0,M,-3606.1444,3606.1444
Adele,         F,3,B,13,3,3,348.4671,0,1,None,None,0,0,M,-3332.5989,3332.5989
Adele,         F,3,B,14,3,3,857.661,0,1,None,None,0,0,M,-2823.405,2823.405
Adele,         F,3,B,19,4,3,1314.7753,0,1,None,None,0,0,M,-2366.2907,2366.2907
Adele,         F,3,B,20,4,3,238.6602,0,1,None,None,0,0,M,-3442.4058,3442.4058
Adele,         F,3,B,25,5,3,16.516,0,1,None,None,0,0,M,-3664.55,3664.55
Adele,         F,3,B,26,5,3,2204.239,0,1,None,None,0,0,M,-1476.827,1476.827
Adele,         F,3,B,31,6,3,264.8315,0,1,None,None,0,0,M,-3416.2345,3416.2345
Adele,         F,3,B,32,6,3,4004.8396,0,1,None,None,0,0,M,323.7736,-323.7736
Adele,         F,3,B,3,1,3,1481.3418,6,1,Threat,pic,0,0,M,-2199.7242,2199.7242
Adele,         F,3,B,4,1,3,977.4282,7,1,Threat,pic,0,0,M,-2703.6378,2703.6378
Adele,         F,3,B,5,1,3,34.8303,5,1,Threat,pic,0,0,M,-3646.2357,3646.2357
Adele,         F,3,B,6,1,3,1534.4044,8,1,Threat,pic,0,0,M,-2146.6616,2146.6616
Adele,         F,3,B,9,2,3,1307.1247,12,1,Neutral,pic,0,0,M,-2373.9413,2373.9413
Adele,         F,3,B,10,2,3,124.8797,9,1,Neutral,pic,0,0,M,-3556.1863,3556.1863
